// List of Teams and their ID's:
//3 => ID of New York Warlords
//4 => ID of Brooklyn Snake Eyes
//1 => ID of Detroit Giants
//2 => ID of Houston Musketeers
//6 => ID of San Diego 49ers
//7 => ID of Los Angeles 97s
//5 => ID of Sacramento Wild
//8 => ID of San Jose Oceanics
//
//
//id, del, team_id, Team Name, LastName, FirstName, NickName, UniformNumber, DayOB, MonthOB, YearOB, NationalityID, Nation, CityID, City, facial_type, Height (cm), Weight (kg), Bats, Throws, Position, ML Service, 40 man roster service, pro years, options used, Contact vL, Gap vL, Power vL, Eye vL, Avoid K vL, BABIP vL, Contract Vr, Gap Vr, Power vR, Eye vR, Ks vR, BABIP vR, Contact Pot, Gap Pot, Power Pot, Eye Pot, Ks Pot, BABIP Pot, HBP, GB Batter type, FB Batter type, speed, steal, running, sac bunt, bunt hit,Move vL, Control vL, Movement vR, Control vR, Move Pot, Control Pot, HBP, WP, Balk, Stamina, Hold, GB%, Velocity, ArmSlot, Infield Range, Infield Error, Infield Arm, DP, CatcherAbil, Catcher Arm, OF Range, OF Error, OF Arm, PExp, CExp, 1bExp, 2bExp, 3bExp, ssExp, LFExp, CFExp, RFExp, use expected, expected level, expected ab, expected avg, expected 2b, expected 3b, expected hr, expected bb, expected k, expected hbp, contract y1, contract y2, contract y3, contract y4, contract y5, contract y6, contract y7, contract y8, contract y9, contract y10, contract current year (0 = first year), extension y1, extension y2, extension y3, extension y4, extension y5, extension y6, extension y7, extension y8, extension y9, extension y10, greed, loyalty, play_for_winner, work_ethic, intelligence, leader ability, Stuff Overall, Stuff R/L split, Stuff Pot., Fastball (scale: 0-5), Slider, Curveball, Changeup, Cutter, Sinker, Splitter, Forkball, Screwball, Circlechange, Knucklecurve, Knuckleball, Fastball Pot.(scale: 0-5), Slider Pot., Curveball Pot., Changeup Pot., Cutter Pot., Sinker Pot., Splitter Pot., Forkball Pot., Screwball Pot., Circlechange Pot., Knucklecurve Pot., Knuckleball Pot., Hitter 3B/2B ratio, lahman_id, bbref_id, bbrefminors_id, twitter_handle
//NOTE: Player and team names are purely cosmetic and will not be used when importing rosters from this file!
// New York Warlords, ID = 3
149,0,3,New York Warlords,DeBruin,Sean,,22,10,12,2001,206,The United States,74407,Sitka,4,184,196,1,1,2,153,0,2,0,88,90,46,92,100,88,84,83,42,85,96,85,90,85,80,92,109,83,8,0,0,25,33,21,47,21,12,2,13,2,22,1,15,15,30,1,1,50,3,3,110,60,76,12,180,99,41,36,63,0,158,0,0,0,0,0,0,0,0,1,550,.235,23,0,6,43,103,8,555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,192,121,98,97,100,6,1.0000,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.000,,,,,eol
2,0,3,New York Warlords,Torres,Armando,,8,11,11,1987,56,Dominican Republic,71389,Santiago,5,186,201,1,1,11,2409,1917,17,0,33,62,17,39,26,31,33,61,17,39,26,31,32,61,19,44,27,28,2,0,0,9,8,11,196,17,114,157,130,169,120,160,3,0,0,161,147,65,12,3,52,67,96,29,10,3,117,6,14,200,0,0,0,0,0,0,0,0,0,1,550,.255,0,0,8,24,106,3,24000000,24000000,21000000,21000000,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,101,167,104,80,113,134,106,1.0000,104,130,0,116,0,0,133,0,0,0,0,0,0,126,0,112,0,0,131,0,0,0,0,0,0,.000,,,,,eol
347,0,3,New York Warlords,Kim,Won-sup,,21,10,1,1995,177,South Korea,40541,Guri,2,184,202,1,1,12,118,0,1,0,45,37,4,24,37,53,45,36,4,23,37,52,44,41,1,28,35,53,3,0,1,9,5,11,85,13,69,82,69,85,68,80,7,4,1,82,141,41,13,4,33,67,68,41,1,8,47,24,101,200,0,0,0,0,0,0,0,0,0,1,550,.302,0,0,25,66,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,161,130,171,174,74,82,1.0000,82,35,0,5,27,27,0,0,0,0,0,0,0,32,0,9,34,27,0,0,0,0,0,0,0,.000,,,,,eol
4,0,3,New York Warlords,Clark,Kobi,,16,26,12,1993,206,The United States,45184,Lexington,4,189,208,2,1,11,1723,1587,13,2,65,55,7,28,60,78,70,64,9,33,64,84,68,64,7,51,60,82,2,0,0,5,9,2,66,26,116,142,129,153,125,149,3,4,3,157,42,51,11,3,49,39,186,18,3,1,44,82,32,200,0,0,0,0,0,0,0,0,0,1,550,.268,0,0,11,30,91,3,15000000,16000000,17000000,17000000,17000000,17000000,17000000,0,0,0,3,0,0,0,0,0,0,0,0,0,0,98,105,175,116,96,108,91,1.0000,90,0,74,8,88,131,0,0,0,0,0,0,0,0,73,12,89,125,0,0,0,0,0,0,0,.000,,,,,eol
5,0,3,New York Warlords,Aleman,Juan,,1,18,11,1998,56,Dominican Republic,42718,La Vega,4,194,218,1,1,11,516,0,4,0,87,72,4,42,82,107,88,73,4,42,82,108,84,72,1,41,77,104,1,0,0,34,1,20,120,8,89,85,101,92,96,91,9,5,1,119,78,54,10,3,38,23,100,1,1,7,19,56,53,200,0,0,0,0,0,0,0,0,0,1,550,.270,0,0,13,61,96,9,1380000,2760000,4240000,5800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,103,90,172,71,90,96,1.0000,95,119,0,113,0,0,132,0,0,0,0,0,0,121,0,109,0,0,131,0,0,0,0,0,0,.000,,,,,eol
213,0,3,New York Warlords,Sisneros,Andy,,10,3,6,1990,56,Dominican Republic,71432,Santo Domingo,5,191,206,1,1,12,1743,1566,16,0,56,44,10,59,61,60,53,38,9,52,57,57,54,43,10,78,58,57,3,1,1,10,2,1,145,5,74,68,73,70,77,69,7,4,0,61,132,46,13,4,52,46,131,14,3,9,19,24,58,200,0,0,0,0,0,0,0,0,0,1,550,.295,0,0,22,81,88,7,920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,97,73,124,115,82,88,.9551,87,48,0,0,30,51,0,0,0,0,0,0,0,43,0,0,30,47,0,0,0,0,0,0,0,.000,,,,,eol
7,0,3,New York Warlords,Dorsey,Sean,KR 91,21,25,7,2004,206,The United States,10078,Bloomington,1,187,178,1,1,12,146,0,3,0,52,65,11,19,31,68,50,60,10,18,29,65,58,60,24,14,56,63,1,1,1,20,2,2,128,14,112,52,121,55,151,109,4,3,1,44,24,62,14,4,42,29,108,56,9,9,62,37,131,200,0,0,0,0,0,0,0,0,0,1,550,.300,0,0,9,96,68,4,555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,113,91,187,37,89,68,1.0000,177,113,0,0,0,0,0,0,0,0,15,0,0,256,0,0,0,0,0,0,0,0,130,0,0,.000,,,,,eol
45,0,3,New York Warlords,Taylor,Steve,,25,27,3,1990,206,The United States,26360,Falmouth,4,197,223,1,2,11,1990,1595,14,1,9,38,20,54,13,3,8,33,17,47,12,3,10,36,17,62,14,1,1,0,0,10,2,3,70,13,77,80,81,83,76,78,8,3,1,96,191,47,8,4,37,50,140,6,8,3,14,60,39,200,0,0,0,0,0,0,0,0,0,1,550,.306,0,0,19,68,70,8,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,71,51,49,74,86,70,1.0267,73,63,53,57,64,0,0,63,0,0,0,0,0,71,50,54,68,0,0,67,0,0,0,0,0,.000,,,,,eol
8,0,3,New York Warlords,Gomez,Alex,,32,26,1,1997,206,The United States,4076,Arlington,5,188,201,1,1,12,862,531,9,0,70,58,20,47,59,85,69,55,20,46,58,84,69,53,16,46,62,81,1,0,1,25,28,47,46,15,76,73,106,83,96,81,7,4,2,36,1,50,10,2,43,36,52,54,9,6,60,49,14,200,0,0,0,0,0,0,0,0,0,1,550,.297,0,0,15,71,73,7,860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,117,89,20,166,102,73,1.0000,73,59,62,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0,0,0,0,0,0,0,0,.000,,,,,eol
96,0,3,New York Warlords,Abundis,Willie,,7,30,8,1993,56,Dominican Republic,42625,La Romana,1,184,202,1,1,12,1319,1279,12,1,62,61,21,32,58,71,59,54,18,29,55,67,58,61,19,44,55,65,3,0,2,11,1,31,58,18,75,90,77,94,79,94,11,5,1,190,59,45,9,4,34,50,122,17,4,1,81,102,26,200,0,0,0,0,0,0,0,0,0,1,550,.289,0,0,21,58,88,11,930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,5,51,98,82,121,88,1.0000,86,14,71,108,63,0,0,46,0,0,0,0,0,10,67,104,66,0,0,53,0,0,0,0,0,.000,,,,,eol
292,0,3,New York Warlords,Orozco,Alex,,85,12,1,1989,56,Dominican Republic,71432,Santo Domingo,1,180,191,1,1,12,2256,2245,17,1,45,72,14,70,45,45,43,65,13,63,42,43,45,63,17,70,43,46,3,0,2,19,7,6,62,20,73,93,80,100,78,94,7,5,2,38,51,47,12,3,39,17,78,1,8,4,83,32,28,200,0,0,0,0,0,0,0,0,0,1,550,.289,0,0,20,53,87,7,2760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,145,21,16,93,77,87,1.0000,88,54,0,0,0,55,6,0,0,0,0,0,0,56,0,0,0,55,6,0,0,0,0,0,0,.000,,,,,eol
12,0,3,New York Warlords,Hatig,Michael,,4,13,11,1997,206,The United States,79775,Three Lakes,4,187,207,1,2,13,837,586,9,2,35,42,11,31,36,31,35,42,11,31,36,31,35,46,8,34,34,33,3,0,0,2,5,2,53,12,86,90,77,81,85,79,9,5,3,32,181,50,13,3,25,50,88,6,6,10,50,46,39,200,0,0,0,0,0,0,0,0,0,1,550,.269,0,0,18,67,111,9,2640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,173,90,114,122,77,111,1.0000,111,126,0,0,0,0,0,0,0,0,113,31,0,124,0,0,0,0,0,0,0,0,111,61,0,.000,,,,,eol
10,0,3,New York Warlords,Kitchin,Micah,Dreamland,13,8,12,1994,206,The United States,31048,Haverhill,4,185,200,1,1,12,1103,1045,12,2,52,84,37,46,58,49,49,72,33,41,54,46,53,70,31,50,55,52,3,2,0,16,22,7,156,21,78,83,88,87,86,86,11,4,1,18,88,42,9,2,51,32,100,32,3,7,67,14,86,200,0,0,0,0,0,0,0,0,0,1,550,.292,0,0,20,65,82,11,980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,119,48,185,104,136,82,1.0000,83,86,0,0,93,0,0,0,0,0,0,0,0,82,0,0,98,0,0,0,0,0,0,0,0,.000,,,,,eol
